sl,cc,pnl,sl_long,cc_long,pnl_long,sl_short,cc_short,pnl_short,symbol,bb_window,bb_std_dev
0.1,0,285.4912927649405,0.1,0,149.9828933017477,0.25,0,144.6426246964498,AGIXUSDT,16,3.1
0.1,0,941.5112636148289,0.125,2,495.34512229933677,0.1,0,464.678223821056,AGLDUSDT,17,3.2
0.15,20,364.12691019296693,0.05,0,148.06859821115276,0.15,20,240.72858608129803,AMBUSDT,16,3.5
0.125,12,532.0363713087398,0.125,12,230.50113338146744,0.1,19,318.08287771551244,APEUSDT,16,3.4
0.05,0,459.7233928500523,0.125,0,265.5510499502976,0.05,0,216.8223268046074,APTUSDT,16,3.1
0.225,0,321.3419143102071,0.125,0,153.0602418676718,0.225,0,171.58112910458217,ARKMUSDT,16,3.1
0.3,13,696.6040085742721,0.15,20,386.34844989252366,0.3,13,325.4824128064583,ASTRUSDT,16,2.7
0.15,0,1265.6969449061442,0.15,0,930.8335175709026,0.075,0,432.59241620495766,AXSUSDT,16,2.8
0.15,0,1303.5413331107566,0.15,1,988.7357169900507,0.05,1,518.8578630933355,AXSUSDT,18,3.5
0.1,0,820.0584647070352,0.1,0,342.1488729813715,0.1,0,477.9095917256622,BAKEUSDT,16,3.5
0.15,1,1206.3256438470912,0.175,0,640.1305755368434,0.125,0,611.6001541726041,BELUSDT,16,3.2
0.225,0,807.5110387345005,0.2,0,347.10257124582546,0.225,0,465.4084674886743,BICOUSDT,16,3.5
0.1,0,1473.0611392645699,0.05,0,780.957182862958,0.1,0,748.1142185034054,CELOUSDT,16,3
0.05,0,1143.4489144221143,0.3,15,688.6898929636135,0.05,0,470.30774974563326,CKBUSDT,16,2.7
0.3,0,2413.875260083005,0.175,1,1467.54748913162,0.3,0,992.5745278314904,COTIUSDT,16,3
0.3,20,1360.8983615930497,0.05,0,943.5336835359121,0,0,739.1725382376231,CTSIUSDT,16,3.4
0.125,0,1318.234865302843,0.125,0,718.5466401346104,0.15,0,624.7520057065635,DYDXUSDT,16,2.9
0.125,0,894.5977115399576,0.125,0,548.9058766104661,0.15,0,394.5232222381121,ENJUSDT,16,3.5
0.225,20,844.5240390698141,0.175,0,289.953613942819,0.225,20,570.3723130742557,GLMRUSDT,16,3.5
0.075,0,836.3843273676232,0.05,0,346.91759821946425,0.075,0,497.53153226467475,GTCUSDT,16,3.5
0.05,0,431.98960650195056,0.225,7,291.04347857741124,0.05,0,180.07221320598578,HIFIUSDT,16,3.4
0.3,0,821.2994361206067,0.225,0,419.93628121879357,0.3,0,440.8171940059787,HIGHUSDT,17,3.5
0.075,0,499.58801936505836,0.075,0,276.9284709069964,0.225,0,235.02128685141108,HOOKUSDT,16,2.8
0.075,0,497.73740990850195,0.225,0,276.9203238152324,0.075,0,255.7408379280812,IMXUSDT,16,3.5
0.3,1,1800.1349547974014,0.15,0,1274.378697666623,0.3,1,575.8969845429496,INJUSDT,16,3.3
0.1,0,2729.470614328291,0.25,3,1592.755129735854,0.1,0,1219.3027186413465,KEYUSDT,17,3.1
0.125,0,837.7900660304298,0.075,0,573.398353545002,0.175,19,329.6105558370999,LEVERUSDT,16,3.2
0.225,16,1381.0287107003314,0.075,0,707.4159628141206,0.225,1,717.4865677195404,LINAUSDT,16,2.8
0.05,0,315.8751894187214,0.075,0,236.90603508393588,0,0,130.8390945156998,LOOMUSDT,16,3.4
0.15,0,406.05558552489674,0.15,0,228.88178885109465,0.125,0,189.39179132779057,LQTYUSDT,16,2.9
0.2,14,1480.3915009933046,0.275,0,838.3959341458317,0.075,0,678.4546837241717,MASKUSDT,16,3
0.225,0,1981.049190318755,0.275,1,1319.5449958219535,0.225,0,735.17144778807,MDTUSDT,18,2.9
0.2,0,1045.407126320046,0.2,0,553.5566328166913,0.125,0,493.3749451540891,MINAUSDT,16,2.8
0.275,4,1542.8975906289013,0.3,1,1059.1466678445147,0.275,16,513.9610876345109,NKNUSDT,18,3.1
0.25,11,2081.6547332537466,0.275,0,1135.2374363766887,0.1,0,959.588476324268,NMRUSDT,16,3.3
0.175,0,1588.0776712012791,0.3,14,965.1562874933151,0.15,1,689.9681195656026,OCEANUSDT,16,3.1
0.175,0,562.856678159992,0.275,0,332.474719279521,0.075,0,269.46194521159873,OPUSDT,18,3.5
0.225,6,815.0817269608536,0.25,0,443.5337211815166,0.225,6,384.5807218317506,PERPUSDT,16,3.5
0.25,0,677.1230809453696,0.075,13,367.1206932766336,0.2,18,323.4504745631503,POLYXUSDT,16,3.5
0.1,0,707.4683484840729,0.125,0,567.1885210676351,0,0,228.25180314591626,QTUMUSDT,18,3.5
0.15,0,610.7550385959568,0.3,0,346.47978167056004,0.05,0,285.3313957117287,RADUSDT,20,3.4
0.15,0,1229.3720706013116,0.15,0,859.760697573949,0,0,460.65761789006615,RLCUSDT,16,3.2
0.15,0,826.8242759760512,0.175,0,464.1234481314431,0.15,0,390.000579310897,RNDRUSDT,16,2.8
0.1,0,850.8567221582306,0.3,0,483.24846819713434,0.1,0,455.34642067931856,SFPUSDT,16,3.5
0.25,14,809.7328471320269,0.25,14,710.2908371421585,0.15,18,167.82729782555052,SOLUSDT,16,2.8
0.15,0,866.1756492509296,0.2,0,683.1800290811133,0.05,0,333.9589883752273,SOLUSDT,18,3.5
0.175,0,456.20874737164945,0.175,0,211.71898860916707,0.175,0,244.48975876248238,SSVUSDT,16,3.3
0.275,0,786.2797878750429,0.1,11,422.9982033676874,0.275,0,368.3726927517667,STEEMUSDT,16,3.5
0.3,1,2549.3208298237773,0.225,18,1538.8607843625896,0.3,1,1039.9192836838492,STPTUSDT,16,3.3
0.3,6,2081.382728723041,0.175,1,1242.0748109529404,0.3,6,858.5714727357555,STRAXUSDT,16,3.2
0.075,0,1431.2647909356806,0.175,3,935.2875385229058,0.075,0,576.3317480094408,TRBUSDT,17,3.5
0.3,3,1483.8154069973807,0.225,16,836.9320015730557,0.3,3,649.80503257096,TRUUSDT,16,3.2
0.125,0,1567.3102888973228,0.125,0,950.7636578692558,0.125,17,662.261297455335,UNFIUSDT,16,2.9
0.275,1,911.7520249913617,0.15,0,466.6062321188328,0.275,1,478.369957390024,WAXPUSDT,19,3.2
0.2,0,1834.18157693897,0.125,0,895.2857806579282,0.2,0,974.5992279282488,XVGUSDT,16,3.4
0.05,0,638.2126548043213,0.05,0,278.5531419051373,0,0,377.69328523563536,YGGUSDT,20,3.5
